"Frequency","Phase Response@Bessel 2nd order","Phase Response@Butterworth 2nd order","Phase Response@Chebyshev 2nd order"
"140","-7.791856958851721","-8.129771606141302","-5.646144217693414"
"150.44509596498443","-8.373169301907021","-8.740750077423758","-6.0758399994968215"
"161.6694778565241","-8.997842978306583","-9.398369182103055","-6.5396493511721365"
"173.7312865052407","-9.669109161699174","-10.106358304891234","-7.0406207941095005"
"186.6930005028653","-10.390438414222247","-10.868783009927538","-7.58215514729454"
"200.62175983317468","-11.16555782798075","-11.69008310197415","-8.16806342821666"
"215.58971364832874","-11.998469140405032","-12.575116214849226","-8.802637346807233"
"231.67439399204522","-12.893467768118104","-13.52920778706474","-9.490735601616464"
"248.95911740544898","-13.85516264700702","-14.55820836429588","-10.237890086978867"
"267.53341649586145","-14.888496683859236","-15.66855921435","-11.05043728901077"
"287.4935037040002","-15.998767507250305","-16.86736722021178","-11.935681669472542"
"308.94276967184226","-17.191648038902365","-18.162489878772924","-12.90209981467388"
"331.99231879263135","-18.473206173504504","-19.562630896342615","-13.95959669031428"
"356.76154471710805","-19.84992253138888","-21.077446213502782","-15.119828639963938"
"383.3787487970101","-21.32870480414622","-22.717659125742813","-16.396611940857653"
"411.98180466929887","-22.91689661038681","-24.495181219336537","-17.806440874526906"
"442.71887242357246","-24.62227797218411","-26.42323272197569","-19.369145279952058"
"475.74916605195756","-26.453053461749732","-28.51645103136055","-21.10872384548515"
"511.24377815677195","-28.41782270247649","-30.790968917567454","-23.054394255872086"
"549.3865661878341","-30.525526200984284","-33.264433334332566","-25.241900604576085"
"590.3751048000141","-32.785357434157255","-35.95592104335972","-27.715103003489098"
"634.4217092641134","-35.206629786180834","-38.885687824167434","-30.52782471284736"
"681.7545352322071","-37.79858452359467","-42.074664511323896","-33.74580972032106"
"732.6187605540912","-40.570123920375","-45.54358866610653","-37.44837632876531"
"787.2778552664871","-43.529452620149954","-49.311643461114706","-41.728819510057924"
"846.0149463333842","-46.68361147824552","-53.39448125664432","-46.69166002412731"
"909.1342842066938","-50.0378930442705","-57.80156398388337","-52.44340070357158"
"976.9628188038106","-53.59513845025585","-62.532887891673035","-59.072028198084205"
"1049.8518930654357","-57.35493361553961","-67.57539990878276","-66.61114610384352"
"1128.1790628660717","-61.312749291767275","-72.89973929444346","-74.99168132073915"
"1212.3500527040883","-65.45910318443279","-78.45825138725023","-84.00076854083727"
"1302.800857301575","-69.77885797520096","-84.185324310307","-93.28397985436449"
"1399.999999999996","-74.25079648408115","-90.00077707046431","-102.41540305003097"
"1504.45095964984","-78.84762058117646","-95.81621785858958","-111.00945735886216"
"1616.6947785652364","-83.53649028622385","-101.54325600497688","-118.80859879634606"
"1737.3128650524018","-88.28014784159328","-107.10171366889519","-125.70463032681019"
"1866.9300050286474","-93.03856726390337","-112.42598345139655","-131.70626089065647"
"2006.217598331741","-97.77095867816674","-117.46841564710644","-136.8899519989478"
"2155.8971364832814","-102.43787392191243","-122.19965420726783","-141.35953158391015"
"2316.743939920446","-107.0031352376955","-126.60665000633905","-145.2214644403103"
"2489.591174054483","-111.43535167721095","-130.6894022910224","-148.57283822568542"
"2675.334164958607","-115.7088820637295","-134.45737505586192","-151.49712623630037"
"2874.9350370399934","-119.80421600286891","-137.92622192618808","-154.06391720220157"
"3089.4276967184137","-123.707841568517","-141.1151267226481","-156.33033306568146"
"3319.9231879263043","-127.41172859312177","-144.0448272145707","-158.34295774639818"
"3567.6154471710706","-130.9125757391245","-146.73625415333265","-160.13974028868833"
"3833.78748797009","-134.21095656326295","-149.2096630578179","-161.7516662405574"
"4119.818046692977","-137.31046883006513","-151.4841303329261","-163.20414664643334"
"4427.188724235712","-140.21695546562992","-153.57730253422764","-164.5181398176521"
"4757.491660519562","-142.93783346714042","-155.50531202723343","-165.71104389018097"
"5112.437781567705","-145.48154280913047","-157.2827958195879","-166.79740193851688"
"5493.865661878325","-147.85711148627436","-158.92297377483837","-167.78945759918804"
"5903.751048000124","-150.0738240054944","-160.43775714625465","-168.69759303571567"
"6344.2170926411145","-152.1409769481475","-161.83786892885374","-169.53067489025622"
"6817.54535232205","-154.0677048116243","-163.13296479440862","-170.29632844439624"
"7326.187605540889","-155.86286075026283","-164.33174820998696","-171.0011557556839"
"7872.778552664848","-157.53493906020213","-165.44207646013777","-171.6509099956969"
"8460.149463333817","-159.0920286684305","-166.47105623956128","-172.25063545235363"
"9091.342842066912","-160.541789151686","-167.42512864905842","-172.8047805234978"
"9769.628188038077","-161.89144277075974","-168.31014408598293","-173.31728938539817"
"10498.518930654325","-163.14777761606436","-169.13142785686316","-173.7916767568507"
"11281.790628660683","-164.31715823671237","-169.893837477788","-174.23108920827966"
"12123.500527040847","-165.40554111061425","-170.6018126482199","-174.63835571674863"
"13028.008573015712","-166.4184930583567","-171.25941883784404","-175.01602958939498"
"13999.99999999992","-167.36121125829303","-171.87038534639728","-175.36642342937728"
"15044.509596498357","-168.23854392764588","-172.43813860304743","-175.6916384695581"
"16166.947785652319","-169.05501103022505","-172.96583137656648","-175.9935893267469"
"17373.12865052397","-169.81482458397278","-173.4563684768196","-176.2740250158858"
"18669.300050286423","-170.52190829289808","-173.91242944529554","-176.53454689572092"
"20062.175983317356","-171.17991633465311","-174.33648865886911","-176.77662408507769"
"21558.971364832756","-171.79225120942831","-174.73083320688477","-177.00160678403495"
"23167.439399204395","-172.36208060711792","-175.09757884650895","-177.2107378510577"
"24895.91174054476","-172.8923532844961","-175.43868429431626","-177.4051629208577"
"26753.341649585996","-173.3858139672633","-175.7559640723161","-177.5859392948024"
"28749.350370399858","-173.84501730673958","-176.05110009315223","-177.75404379328342"
"30894.276967184054","-174.272340930174","-176.32565214111662","-177.91037972539326"
"33199.23187926295","-174.66999762886897","-176.58106738210068","-178.05578310382785"
"35676.15447171061","-175.04004673083764","-176.8186890159377","-178.1910282107811"
"38337.874879700794","-175.38440470539365","-177.03976416814717","-178.31683260266107"
"41198.180466929654","-175.70485504654104","-177.24545110434104","-178.43386162689356"
"44271.88724235699","-176.00305748071187","-177.43682583903689","-178.54273251221798"
"47574.91660519548","-176.28055654259532","-177.61488820096798","-178.6440180841936"
"51124.3778156769","-176.53878956071404","-177.78056740886467","-178.73825014969486"
"54938.65661878308","-176.77909409217776","-177.93472720484044","-178.82592258765098"
"59037.51048000106","-177.00271484377353","-178.07817058673427","-178.90749417789777"
"63442.17092641095","-177.21081011429683","-178.21164417585308","-178.98339119555203"
"68175.45352322029","-177.4044577908332","-178.33584225237942","-179.05400979461126"
"73261.87605540866","-177.5846609295886","-178.45141048713242","-179.11971820138436"
"78727.78552664822","-177.7523529498542","-178.55894939529995","-179.1808587357636"
"84601.49463333789","-177.90840246778325","-178.65901753510602","-179.23774967615847"
"90913.42842066882","-178.05361779486148","-178.75213447207713","-179.29068698206157"
"97696.28188038045","-178.1887511242628","-178.83878352756767","-179.33994588663725"
"104985.18930654292","-178.31450242669703","-178.9194143284458","-179.38578237037723"
"112817.90628660648","-178.4315230758773","-178.9944451732982","-179.42843452570654"
"121235.00527040809","-178.54041922234808","-179.06426522914387","-179.4681238214204"
"130280.0857301567","-178.64175493312408","-179.12923657143418","-179.50505627496145"
"139999.99999999875","-178.73605511338442","-179.18969607903415","-179.53942353978584"
"150445.0959649831","-178.82380822534338","-179.24595719490904","-179.57140391439782"
"161669.4778565227","-178.90546881837227","-179.29831156237023","-179.60116327904188"
"173731.28650523917","-178.98145988347156","-179.34703054594652","-179.62885596552096"
"186693.00050286367","-179.05217504428506","-179.3923666452348","-179.65462556513944"
"200621.75983317295","-179.11798059600233","-179.43455480943786","-179.67860567935705"
"215589.7136483269","-179.1792174027078","-179.47381365970824","-179.70092061736216"
"231674.39399204325","-179.23620266300406","-179.51034662587864","-179.72168604443758"
"248959.11740544686","-179.28923155305344","-179.54434300366836","-179.74100958468588"
"267533.41649585916","-179.33857875554747","-179.575978938004","-179.75899138140443"
"287493.5037039977","-179.38449988252492","-179.60541833767866","-179.77572461814864"
"308942.7696718396","-179.42723279940614","-179.63281372619198","-179.79129600329114"
"331992.31879262853","-179.4669988571038","-179.65830703326432","-179.80578622067543"
"356761.54471710505","-179.50400403859044","-179.68203033119227","-179.81927034876895"
"383378.74879700685","-179.53844002586274","-179.70410651991523","-179.83181825054373"
"411981.8046692954","-179.57048519282867","-179.72464996438657","-179.84349493615056"
"442718.8724235687","-179.6003055292603","-179.74376708758527","-179.85436090030208"
"475749.1660519535","-179.62805550059957","-179.76155692227024","-179.86447243614253"
"511243.7781567676","-179.65387884806808","-179.77811162435748","-179.87388192725385"
"549386.5661878294","-179.67790933322826","-179.79351695059816","-179.88263811933004"
"590375.104800009","-179.70027143085036","-179.8078527030477","-179.8907863729432"
"634421.7092641079","-179.7210809736757","-179.82119314263926","-179.89836889872234"
"681754.5352322012","-179.74044575241473","-179.8336073740147","-179.90542497617398"
"732618.7605540848","-179.75846607408897","-179.84515970361363","-179.91199115728585"
"787277.8552664802","-179.7752352816084","-179.8559099728819","-179.91810145597518"
"846014.9463333768","-179.79084023727512","-179.86591386833115","-179.92378752436755"
"909134.284206686","-179.80536177271898","-179.8752232100585","-179.929078816825"
"976962.8188038021","-179.81887510759475","-179.8838862202254","-179.93400274257502"
"1049851.8930654265","-179.83145023921014","-179.8919477728885","-179.93858480773451"
"1128179.062866062","-179.84315230510268","-179.8994496264785","-179.94284874746728"
"1212350.052704078","-179.8540419204436","-179.90643064013344","-179.9468166489596"
"1302800.857301564","-179.86417549201641","-179.9129269750082","-179.95050906585433"
