*Frequency ;VOUTLOWNOISE-abs;
1;1.58E-07;
1.01250678;1.57E-07;
1.025169979;1.56E-07;
1.037991555;1.55E-07;
1.050973487;1.54E-07;
1.064117781;1.53E-07;
1.077426468;1.52E-07;
1.090901603;1.51E-07;
1.10454527;1.50E-07;
1.118359574;1.50E-07;
1.132346651;1.49E-07;
1.146508662;1.48E-07;
1.160847793;1.47E-07;
1.175366261;1.46E-07;
1.190066308;1.45E-07;
1.204950206;1.44E-07;
1.220020253;1.43E-07;
1.235278777;1.42E-07;
1.250728137;1.42E-07;
1.266370719;1.41E-07;
1.282208939;1.40E-07;
1.298245244;1.39E-07;
1.314482111;1.38E-07;
1.33092205;1.37E-07;
1.347567599;1.36E-07;
1.36442133;1.36E-07;
1.381485848;1.35E-07;
1.398763787;1.34E-07;
1.416257818;1.33E-07;
1.433970643;1.32E-07;
1.451904998;1.32E-07;
1.470063654;1.31E-07;
1.488449417;1.30E-07;
1.507065126;1.29E-07;
1.525913658;1.28E-07;
1.544997924;1.28E-07;
1.564320873;1.27E-07;
1.58388549;1.26E-07;
1.603694798;1.25E-07;
1.623751855;1.24E-07;
1.644059763;1.24E-07;
1.664621656;1.23E-07;
1.685440713;1.22E-07;
1.706520149;1.21E-07;
1.727863221;1.21E-07;
1.749473226;1.20E-07;
1.771353503;1.19E-07;
1.793507431;1.19E-07;
1.815938434;1.18E-07;
1.838649976;1.17E-07;
1.861645567;1.16E-07;
1.884928758;1.16E-07;
1.908503147;1.15E-07;
1.932372376;1.14E-07;
1.956540132;1.14E-07;
1.981010149;1.13E-07;
2.005786207;1.12E-07;
2.030872134;1.12E-07;
2.056271804;1.11E-07;
2.081989143;1.10E-07;
2.108028123;1.10E-07;
2.134392767;1.09E-07;
2.161087148;1.08E-07;
2.188115389;1.08E-07;
2.215481667;1.07E-07;
2.243190208;1.06E-07;
2.271245295;1.06E-07;
2.29965126;1.05E-07;
2.328412492;1.04E-07;
2.357533434;1.04E-07;
2.387018586;1.03E-07;
2.416872502;1.03E-07;
2.447099795;1.02E-07;
2.477705133;1.01E-07;
2.508693246;1.01E-07;
2.540068921;1.00E-07;
2.571837004;9.95E-08;
2.604002403;9.89E-08;
2.636570088;9.83E-08;
2.66954509;9.77E-08;
2.702932503;9.71E-08;
2.736737485;9.65E-08;
2.770965258;9.59E-08;
2.805621111;9.54E-08;
2.840710397;9.48E-08;
2.876238536;9.42E-08;
2.912211019;9.37E-08;
2.948633401;9.31E-08;
2.98551131;9.25E-08;
3.022850443;9.20E-08;
3.060656568;9.14E-08;
3.098935526;9.09E-08;
3.137693231;9.04E-08;
3.17693567;8.98E-08;
3.216668905;8.93E-08;
3.256899075;8.87E-08;
3.297632395;8.82E-08;
3.338875158;8.77E-08;
3.380633734;8.72E-08;
3.422914576;8.66E-08;
3.465724216;8.61E-08;
3.509069266;8.56E-08;
3.552956423;8.51E-08;
3.597392467;8.46E-08;
3.642384263;8.41E-08;
3.687938761;8.36E-08;
3.734063;8.31E-08;
3.780764104;8.26E-08;
3.828049288;8.21E-08;
3.875925858;8.16E-08;
3.92440121;8.12E-08;
3.973482832;8.07E-08;
4.023178308;8.02E-08;
4.073495313;7.97E-08;
4.124441623;7.93E-08;
4.176025106;7.88E-08;
4.228253733;7.83E-08;
4.281135572;7.79E-08;
4.334678793;7.74E-08;
4.388891666;7.69E-08;
4.443782569;7.65E-08;
4.499359979;7.60E-08;
4.555632484;7.56E-08;
4.612608777;7.52E-08;
4.67029766;7.47E-08;
4.728708045;7.43E-08;
4.787848956;7.38E-08;
4.847729529;7.34E-08;
4.908359015;7.30E-08;
