*Frequency ;VOUT-abs;
1;7.99E-07;
1.148153621;7.71E-07;
1.318256739;7.46E-07;
1.513561248;7.23E-07;
1.737800829;7.02E-07;
1.995262315;6.84E-07;
2.290867653;6.67E-07;
2.630267992;6.52E-07;
3.01995172;6.39E-07;
3.467368505;6.28E-07;
3.981071706;6.18E-07;
4.570881896;6.08E-07;
5.248074602;6.00E-07;
6.025595861;5.93E-07;
6.918309709;5.87E-07;
7.943282347;5.82E-07;
9.120108394;5.77E-07;
10.47128548;5.72E-07;
12.02264435;5.69E-07;
13.80384265;5.65E-07;
15.84893192;5.63E-07;
18.19700859;5.60E-07;
20.89296131;5.58E-07;
23.98832919;5.56E-07;
27.54228703;5.54E-07;
31.6227766;5.53E-07;
36.30780548;5.52E-07;
41.68693835;5.50E-07;
47.86300923;5.50E-07;
54.95408739;5.49E-07;
63.09573445;5.48E-07;
72.44359601;5.47E-07;
83.17637711;5.47E-07;
95.4992586;5.46E-07;
109.6478196;5.46E-07;
125.8925412;5.45E-07;
144.5439771;5.45E-07;
165.9586907;5.44E-07;
190.5460718;5.44E-07;
218.7761624;5.43E-07;
251.1886432;5.43E-07;
288.4031503;5.42E-07;
331.1311215;5.41E-07;
380.1893963;5.40E-07;
436.5158322;5.39E-07;
501.1872336;5.37E-07;
575.4399373;5.35E-07;
660.693448;5.31E-07;
758.577575;5.27E-07;
870.96359;5.21E-07;
1000;5.13E-07;
1148.153621;5.03E-07;
1318.256739;4.89E-07;
1513.561248;4.70E-07;
1737.800829;4.48E-07;
1995.262315;4.20E-07;
2290.867653;3.88E-07;
2630.267992;3.53E-07;
3019.95172;3.14E-07;
3467.368505;2.74E-07;
3981.071706;2.35E-07;
4570.881896;1.97E-07;
5248.074602;1.63E-07;
6025.595861;1.32E-07;
6918.309709;1.06E-07;
7943.282347;8.36E-08;
9120.108394;6.53E-08;
10471.28548;5.04E-08;
12022.64435;3.86E-08;
13803.84265;2.93E-08;
15848.93192;2.21E-08;
18197.00859;1.65E-08;
20892.96131;1.23E-08;
23988.32919;9.06E-09;
27542.28703;6.65E-09;
31622.7766;4.87E-09;
36307.80548;3.56E-09;
41686.93835;2.59E-09;
47863.00923;1.89E-09;
54954.08739;1.38E-09;
63095.73445;1.02E-09;
72443.59601;7.48E-10;
83176.37711;5.53E-10;
95499.2586;4.10E-10;
109647.8196;3.05E-10;
125892.5412;2.28E-10;
144543.9771;1.71E-10;
165958.6907;1.28E-10;
190546.0718;9.58E-11;
218776.1624;7.18E-11;
251188.6432;5.38E-11;
288403.1503;4.03E-11;
331131.1215;3.00E-11;
380189.3963;2.23E-11;
436515.8322;1.66E-11;
501187.2336;1.22E-11;
575439.9373;8.91E-12;
660693.448;6.46E-12;
758577.575;4.64E-12;
870963.59;3.30E-12;
1000000;2.31E-12;
 ;;
