*Frequency 	VOUTLOWNOISE-abs	VOUTLOWNOISE-phase (deg)
1	1,58063699068651E-7	9,05636702516221E-6
1,01250677992347	1,57096137150439E-7	9,00092991251981E-6
1,02516997939099	1,56134641663102E-7	8,94584038024668E-6
1,03799155470737	1,55179175456401E-7	8,89109629973492E-6
1,05097348664451	1,54229701612643E-7	8,83669555581928E-6
1,06411778074737	1,53286183445291E-7	8,78263604646085E-6
1,07742646764383	1,52348584497497E-7	8,7289156829271E-6
1,09090160335837	1,51416868540743E-7	8,67553238939307E-6
1,10454526962972	1,50490999573383E-7	8,62248410317767E-6
1,11835957423249	1,4957094181929E-7	8,569768774406E-6
1,13234665130272	1,48656659726422E-7	8,51738436618505E-6
1,14650866166763	1,4774811796549E-7	8,46532885427023E-6
1,16084779317946	1,46845281428577E-7	8,41360022707318E-6
1,17536626105339	1,45948115227735E-7	8,36219648574922E-6
1,19006630820985	1,45056584693698E-7	8,31111564381553E-6
1,20495020562097	1,44170655374468E-7	8,26035572740441E-6
1,2200202526614	1,43290293034033E-7	8,20991477491225E-6
1,23527877746361	1,42415463651012E-7	8,15979083706063E-6
1,25072813727747	1,41546133417343E-7	8,10998197676657E-6
1,26637071883449	1,40682268736951E-7	8,06048626917391E-6
1,28220893871647	1,39823836224477E-7	8,01130180141853E-6
1,2982452437289	1,3897080270395E-7	7,96242667268698E-6
1,3144821112789	1,38123135207531E-7	7,91385899401139E-6
1,330922049758	1,3728080097419E-7	7,86559688837892E-6
1,34756759892961	1,36443767448476E-7	7,8176384904764E-6
1,36442133032142	1,35612002279218E-7	7,76998194674738E-6
1,38148584762263	1,34785473318293E-7	7,72262541524281E-6
1,39876378708623	1,33964148619368E-7	7,67556706556268E-6
1,41625781793623	1,33147996436652E-7	7,62880507881032E-6
1,43397064278005	1,32336985223674E-7	7,58233764749645E-6
1,45190499802601	1,31531083632025E-7	7,53616297556796E-6
1,4700636543061	1,30730260510201E-7	7,49027927810248E-6
1,48844941690399	1,29934484902321E-7	7,44468478151158E-6
1,50706512618842	1,29143726046978E-7	7,39937772327422E-6
1,52591365805199	1,28357953375996E-7	7,35435635201486E-6
1,54499792435545	1,275771365133E-7	7,30961892724176E-6
1,56432087337758	1,2680124527367E-7	7,26516371949684E-6
1,5838854902706	1,26030249661588E-7	7,22098901021446E-6
1,60369479752138	1,25264119870094E-7	7,17709309156002E-6
1,62375185541839	1,2450282627961E-7	7,13347426643559E-6
1,64405976252442	1,23746339456755E-7	7,0901308485064E-6
1,66462165615534	1,22994630153268E-7	7,04706116190218E-6
1,68544071286471	1,222476693048E-7	7,0042635413848E-6
1,70652014893456	1,21505428029807E-7	6,96173633218965E-6
1,72786322087224	1,20767877628429E-7	6,91947788996109E-6
1,74947322591354	1,20034989581385E-7	6,87748658062109E-6
1,77135350253204	1,19306735548827E-7	6,83576078043021E-6
1,79350743095487	1,18583087369249E-7	6,7942988758782E-6
1,81593843368492	1,17864017058393E-7	6,75309926359868E-6
1,83864997602958	1,17149496808163E-7	6,71216035028507E-6
1,86164556663607	1,16439498985519E-7	6,67148055270549E-6
1,88492875803348	1,15733996131422E-7	6,63105829755316E-6
1,90850314718162	1,1503296095973E-7	6,59089202149369E-6
1,93237237602666	1,14336366356169E-7	6,55098017097392E-6
1,95654013206381	1,13644185377247E-7	6,51132120226931E-6
1,98101014890696	1,12956391249226E-7	6,47191358131688E-6
2,00578620686549	1,12272957367034E-7	6,43275578380378E-6
2,03087213352828	1,11593857293256E-7	6,39384629500104E-6
2,05627180435502	1,10919064757106E-7	6,35518360968428E-6
2,08198914327492	1,10248553653385E-7	6,31676623212749E-6
2,1080281232929	1,09582298041449E-7	6,27859267606459E-6
2,1343927671034	1,0892027214421E-7	6,24066146458966E-6
2,1610871477118	1,08262450347121E-7	6,20297113009945E-6
2,18811538906366	1,07608807197163E-7	6,16552021428625E-6
2,21548166668183	1,06959317401899E-7	6,12830726792031E-6
2,24319020831149	1,06313955828382E-7	6,09133085107364E-6
2,27124529457331	1,05672697502274E-7	6,05458953278336E-6
2,29965125962475	1,05035517606787E-7	6,01808189119466E-6
2,3284124918296	1,04402391481773E-7	5,98180651335698E-6
2,35753343443596	1,03773294622697E-7	5,94576199530558E-6
2,38701858626266	1,03148202679721E-7	5,90994694188943E-6
2,41687250239427	1,02527091456727E-7	5,87435996677496E-6
