*Frequency ;VOUTLOWPOWER-abs;VOUTLOWPOWER-phase (deg)
1;2.23E-07;1.28E-05
1.01250678;2.22E-07;1.27E-05
1.025169979;2.21E-07;1.27E-05
1.037991555;2.21E-07;1.26E-05
1.050973487;2.20E-07;1.26E-05
1.064117781;2.19E-07;1.26E-05
1.077426468;2.19E-07;1.25E-05
1.090901603;2.18E-07;1.25E-05
1.10454527;2.17E-07;1.25E-05
1.118359574;2.17E-07;1.24E-05
1.132346651;2.16E-07;1.24E-05
1.146508662;2.16E-07;1.23E-05
1.160847793;2.15E-07;1.23E-05
1.175366261;2.14E-07;1.23E-05
1.190066308;2.14E-07;1.22E-05
1.204950206;2.13E-07;1.22E-05
1.220020253;2.12E-07;1.22E-05
1.235278777;2.12E-07;1.21E-05
1.250728137;2.11E-07;1.21E-05
1.266370719;2.11E-07;1.21E-05
1.282208939;2.10E-07;1.20E-05
1.298245244;2.10E-07;1.20E-05
1.314482111;2.09E-07;1.20E-05
1.33092205;2.08E-07;1.19E-05
1.347567599;2.08E-07;1.19E-05
1.36442133;2.07E-07;1.19E-05
1.381485848;2.07E-07;1.19E-05
1.398763787;2.06E-07;1.18E-05
1.416257818;2.06E-07;1.18E-05
1.433970643;2.05E-07;1.18E-05
1.451904998;2.05E-07;1.17E-05
1.470063654;2.04E-07;1.17E-05
1.488449417;2.04E-07;1.17E-05
1.507065126;2.03E-07;1.16E-05
1.525913658;2.03E-07;1.16E-05
1.544997924;2.02E-07;1.16E-05
1.564320873;2.02E-07;1.16E-05
1.58388549;2.01E-07;1.15E-05
1.603694798;2.01E-07;1.15E-05
1.623751855;2.00E-07;1.15E-05
1.644059763;2.00E-07;1.14E-05
1.664621656;1.99E-07;1.14E-05
1.685440713;1.99E-07;1.14E-05
1.706520149;1.98E-07;1.14E-05
1.727863221;1.98E-07;1.13E-05
1.749473226;1.97E-07;1.13E-05
1.771353503;1.97E-07;1.13E-05
1.793507431;1.97E-07;1.13E-05
1.815938434;1.96E-07;1.12E-05
1.838649976;1.96E-07;1.12E-05
1.861645567;1.95E-07;1.12E-05
1.884928758;1.95E-07;1.12E-05
1.908503147;1.94E-07;1.11E-05
1.932372376;1.94E-07;1.11E-05
1.956540132;1.94E-07;1.11E-05
1.981010149;1.93E-07;1.11E-05
2.005786207;1.93E-07;1.10E-05
2.030872134;1.92E-07;1.10E-05
2.056271804;1.92E-07;1.10E-05
2.081989143;1.92E-07;1.10E-05
2.108028123;1.91E-07;1.10E-05
2.134392767;1.91E-07;1.09E-05
2.161087148;1.91E-07;1.09E-05
2.188115389;1.90E-07;1.09E-05
2.215481667;1.90E-07;1.09E-05
2.243190208;1.89E-07;1.09E-05
2.271245295;1.89E-07;1.08E-05
2.29965126;1.89E-07;1.08E-05
2.328412492;1.88E-07;1.08E-05
2.357533434;1.88E-07;1.08E-05
2.387018586;1.88E-07;1.08E-05
2.416872502;1.87E-07;1.07E-05
2.447099795;1.87E-07;1.07E-05
2.477705133;1.87E-07;1.07E-05
2.508693246;1.86E-07;1.07E-05
2.540068921;1.86E-07;1.07E-05
2.571837004;1.86E-07;1.06E-05
2.604002403;1.85E-07;1.06E-05
2.636570088;1.85E-07;1.06E-05
2.66954509;1.85E-07;1.06E-05
2.702932503;1.84E-07;1.06E-05
2.736737485;1.84E-07;1.05E-05
2.770965258;1.84E-07;1.05E-05
2.805621111;1.83E-07;1.05E-05
2.840710397;1.83E-07;1.05E-05
2.876238536;1.83E-07;1.05E-05
2.912211019;1.83E-07;1.05E-05
2.948633401;1.82E-07;1.04E-05
2.98551131;1.82E-07;1.04E-05
3.022850443;1.82E-07;1.04E-05
3.060656568;1.81E-07;1.04E-05
3.098935526;1.81E-07;1.04E-05
3.137693231;1.81E-07;1.04E-05
3.17693567;1.81E-07;1.04E-05
3.216668905;1.80E-07;1.03E-05
3.256899075;1.80E-07;1.03E-05
3.297632395;1.80E-07;1.03E-05
3.338875158;1.80E-07;1.03E-05
3.380633734;1.79E-07;1.03E-05
3.422914576;1.79E-07;1.03E-05
3.465724216;1.79E-07;1.02E-05
3.509069266;1.79E-07;1.02E-05
3.552956423;1.78E-07;1.02E-05
3.597392467;1.78E-07;1.02E-05
3.642384263;1.78E-07;1.02E-05
3.687938761;1.78E-07;1.02E-05
3.734063;1.77E-07;1.02E-05
3.780764104;1.77E-07;1.02E-05
3.828049288;1.77E-07;1.01E-05
3.875925858;1.77E-07;1.01E-05
3.92440121;1.76E-07;1.01E-05
3.973482832;1.76E-07;1.01E-05
4.023178308;1.76E-07;1.01E-05
4.073495313;1.76E-07;1.01E-05
4.124441623;1.76E-07;1.01E-05
4.176025106;1.75E-07;1.01E-05
4.228253733;1.75E-07;1.00E-05
4.281135572;1.75E-07;1.00E-05
4.334678793;1.75E-07;1.00E-05
4.388891666;1.75E-07;1.00E-05
4.443782569;1.74E-07;9.99E-06
4.499359979;1.74E-07;9.98E-06
4.555632484;1.74E-07;9.97E-06
4.612608777;1.74E-07;9.96E-06
4.67029766;1.74E-07;9.95E-06
4.728708045;1.73E-07;9.94E-06
4.787848956;1.73E-07;9.93E-06
4.847729529;1.73E-07;9.91E-06
4.908359015;1.73E-07;9.90E-06
4.969746781;1.73E-07;9.89E-06
5.031902311;1.73E-07;9.88E-06
5.094835205;1.72E-07;9.87E-06
5.158555188;1.72E-07;9.86E-06
5.223072103;1.72E-07;9.85E-06
5.288395916;1.72E-07;9.84E-06
5.35453672;1.72E-07;9.83E-06
5.421504732;1.71E-07;9.82E-06
5.489310299;1.71E-07;9.82E-06
5.557963894;1.71E-07;9.81E-06
5.627476126;1.71E-07;9.80E-06
5.697857731;1.71E-07;9.79E-06
5.769119584;1.71E-07;9.78E-06
5.841272693;1.71E-07;9.77E-06
5.914328205;1.70E-07;9.76E-06
5.988297406;1.70E-07;9.75E-06
6.063191724;1.70E-07;9.74E-06
6.139022728;1.70E-07;9.74E-06
6.215802135;1.70E-07;9.73E-06
6.293541804;1.70E-07;9.72E-06
6.372253746;1.69E-07;9.71E-06
6.451950121;1.69E-07;9.70E-06
6.532643242;1.69E-07;9.69E-06
6.614345573;1.69E-07;9.69E-06
6.697069737;1.69E-07;9.68E-06
6.780828515;1.69E-07;9.67E-06
6.865634845;1.69E-07;9.66E-06
6.951501829;1.69E-07;9.66E-06
7.038442732;1.68E-07;9.65E-06
7.126470987;1.68E-07;9.64E-06
7.215600191;1.68E-07;9.63E-06
7.305844114;1.68E-07;9.63E-06
7.397216699;1.68E-07;9.62E-06
7.48973206;1.68E-07;9.61E-06
7.583404491;1.68E-07;9.60E-06
7.678248462;1.68E-07;9.60E-06
7.774278626;1.67E-07;9.59E-06
7.871509817;1.67E-07;9.58E-06
7.969957058;1.67E-07;9.58E-06
8.069635557;1.67E-07;9.57E-06
8.170560713;1.67E-07;9.56E-06
8.272748118;1.67E-07;9.56E-06
8.376213558;1.67E-07;9.55E-06
8.480973018;1.67E-07;9.55E-06
8.587042681;1.66E-07;9.54E-06
8.694438934;1.66E-07;9.53E-06
8.803178368;1.66E-07;9.53E-06
8.913277782;1.66E-07;9.52E-06
9.024754186;1.66E-07;9.51E-06
9.1376248;1.66E-07;9.51E-06
9.251907063;1.66E-07;9.50E-06
9.367618628;1.66E-07;9.50E-06
9.484777373;1.66E-07;9.49E-06
9.603401396;1.66E-07;9.49E-06
9.723509024;1.65E-07;9.48E-06
9.845118811;1.65E-07;9.48E-06
9.968249546;1.65E-07;9.47E-06
10.09292025;1.65E-07;9.46E-06
10.21915018;1.65E-07;9.46E-06
10.34695884;1.65E-07;9.45E-06
10.47636598;1.65E-07;9.45E-06
